Year,Mean Annual Earnings,Median Annual Earnings,Max Annual Earnings,Min Annual Earnings,Mean Annual Change,Median Annual Change,Max Annual Change,Min Annual Change
2011,33916.74,34245.0,55483.0,16560.0,,,,
2012,33703.02,33905.0,54596.0,16188.0,-0.68,-0.65,1.8,-3.2
2013,33971.76,34070.0,54160.0,16095.0,0.68,0.7,3.5,-1.5
2014,34306.95,34337.5,55750.0,16115.0,1.04,1.15,4.5,-2.5
2015,34568.21,34398.0,57078.0,16525.0,0.92,1.05,2.8,-2.2
2016,34868.36,34456.0,57863.0,17025.0,1.17,1.15,4.6,-3.0
2017,35631.45,35102.0,59656.0,17447.0,2.24,2.25,5.7,-1.6
2018,36680.55,36504.0,61802.0,17890.0,3.02,3.2,4.7,0.1
2019,37922.79,38039.0,63488.0,18318.0,3.58,3.35,8.2,0.4
2020,40360.48,40389.0,66436.0,22228.0,7.65,6.05,31.7,-5.0
2021,41458.4,41261.0,71271.0,21556.0,2.37,2.65,7.3,-3.0
2022,42848.36,41774.5,76775.0,21446.0,2.72,3.2,10.8,-11.0
2023,44511.9,43112.5,81891.0,21701.0,3.68,3.6,6.7,-1.0
